fips,area_name,state_abbreviation,total_2008,dem_2008,gop_2008,oth_2008,total_2012,dem_2012,gop_2012,oth_2012,total_2016,dem_2016,gop_2016,oth_2016,PST045214,PST040210,PST120214,POP010210,AGE135214,AGE295214,AGE775214,SEX255214,RHI125214,RHI225214,RHI325214,RHI425214,RHI525214,RHI625214,RHI725214,RHI825214,POP715213,POP645213,POP815213,EDU635213,EDU685213,VET605213,LFE305213,HSG010214,HSG445213,HSG096213,HSG495213,HSD410213,HSD310213,INC910213,INC110213,PVY020213,BZA010213,BZA110213,BZA115213,NES010213,SBO001207,SBO315207,SBO115207,SBO215207,SBO515207,SBO415207,SBO015207,MAN450207,WTN220207,RTN130207,RTN131207,AFN120207,BPS030214,LND110210,POP060210,gop_pct_2016,gop_pct_2008,pct_change
1021,Chilton County,AL,17785,3674,13960,151,17434,3391,13910,133,18255,2909,15068,278,43931,43631,0.7,43643,6.4,24.2,15.2,50.8,87.1,10.6,0.5,0.4,0.2,1.2,7.7,80.3,88.8,5.2,7.4,76,12.9,3308,31.8,19221,74.5,4.1,102600,16232,2.67,20701,41250,19.5,703,7396,8.8,2719,0,0,0,0,0,0,0,0,155139,359910,8496,34073,78,692.85,63,0.8254176937825254,0.7849311217317965,7.9369627507163365
1023,Choctaw County,AL,7894,3636,4223,35,7965,3785,4150,30,7268,3109,4102,57,13323,13858,-3.9,13859,4.9,20.6,20.8,52.5,56.6,42.4,0.2,0.3,0,0.5,0.8,56.1,91.4,0.3,1.3,75.2,11.8,938,33.4,7231,83.7,4,58200,5518,2.45,20323,33941,21.5,255,2900,1.4,809,1102,26.2,0,0,0,0,44.1,0,52904,84633,5969,11345,0,913.5,15.2,0.5643918547055586,0.5349632632379022,-2.865261662325358
1025,Clarke County,AL,13435,5914,7466,55,13827,6317,7463,47,12936,5712,7109,115,24945,25840,-3.5,25833,5.6,22.6,18,52.8,54,44.2,0.4,0.5,0,0.8,1.3,53.1,92.5,0.3,1.3,78.3,11.2,1583,25.5,12583,72.9,6.8,85600,9631,2.63,18979,29357,29.3,586,6648,3.7,1640,2374,0,0,0,0,0,28.6,571454,85803,344311,13034,23596,11,1238.47,20.9,0.5495516388373531,0.5557126907331597,-4.781676935440659
1027,Clay County,AL,6819,1760,4984,75,6640,1770,4802,68,6572,1234,5230,108,13552,13932,-2.7,13932,5.3,21.6,19.4,50.6,82.8,14.5,0.6,0.3,0,1.8,3.4,79.7,88.3,2.2,3.3,76.5,9.2,1076,30.7,6736,75,10,79900,5649,2.38,18694,34002,19,190,2993,4.6,792,1005,0,0,0,0,0,0,330878,0,70558,5123,4352,0,603.96,23.1,0.795800365185636,0.7308989587916117,4.9357945425361205
1029,Cleburne County,AL,6492,1168,5216,108,6302,971,5269,62,6532,684,5738,110,15080,14972,0.7,14972,5.7,23.3,18.4,50.4,94.5,3.6,0.4,0.2,0.1,1.2,2.5,92.3,89.1,1.5,2.3,76,9,989,31.4,6690,77.6,6.3,100800,5601,2.64,19108,38019,18.4,152,1548,-4.8,930,1280,0,0,0,0,0,17.7,0,5888,133407,9080,4134,1,560.1,26.7,0.8784445805266381,0.8034504004929144,10.007668711656436
1031,Coffee County,AL,20128,5079,14919,130,19715,4899,14638,178,20513,4194,15825,494,50909,49948,1.9,49948,6.1,23.7,15.9,50.5,76.4,17.7,1.4,1.6,0.4,2.5,6.4,71.3,83.3,5.1,7.5,82.4,22.5,6066,21.3,22852,69.9,13.5,131000,18820,2.65,23380,43768,18.6,954,12762,0.3,2602,4032,6,0,1.3,0,0.7,29.3,613758,131594,639623,13665,50080,58,678.97,73.6,0.7714619997075025,0.7412062798092209,6.0727930826462995
1033,Colbert County,AL,24843,9703,14739,401,23374,9160,13931,283,24626,7296,16718,612,54543,54428,0.2,54428,5.7,21.7,18.5,51.8,80.8,16.3,0.6,0.5,0.1,1.7,2.6,78.8,87.2,2,2.6,83.5,17.7,4376,22.7,26192,72.1,12.3,99300,22260,2.42,21572,39077,17.9,1226,19820,6.2,3630,4757,0,0,0,0,0,22.8,2083166,351388,821284,15040,61935,143,592.62,91.8,0.6788759847315845,0.5932858350440768,13.42696248049393
1035,Conecuh County,AL,6943,3429,3470,44,7013,3551,3434,28,6543,3069,3413,61,12670,13228,-4.2,13228,5.5,21.4,20.4,51.9,52.1,46.2,0.4,0.1,0,1.2,1.8,51.1,96.9,0.6,2.2,77.3,8.8,1101,27.2,7055,79.1,7.2,69600,4994,2.61,15605,24658,32.7,194,2197,-1.5,756,980,0,0,0,0,0,23,183544,76736,71232,5430,8667,3,850.16,15.6,0.5216261653675683,0.49978395506265305,-1.6426512968299667
1037,Coosa County,AL,5563,2273,3248,42,5243,2188,3028,27,5223,1780,3376,67,10886,11758,-7.4,11539,4.8,18.3,18.5,49.5,66.1,31.8,0.6,0.2,0.2,1.2,2.3,64.8,87.2,1.8,3.3,75,9.8,934,30.2,6458,83,3,75100,4506,2.42,18493,37277,20.9,93,992,3.9,367,545,0,0,0,0,0,0,89585,31647,20531,1904,575,0,650.93,17.7,0.6463718169634309,0.5838576307747618,3.9408866995073843
1039,Covington County,AL,15787,3240,12444,103,15415,3155,12148,112,15818,2379,13222,217,37914,37765,0.4,37765,5.9,22.1,19.8,51.6,84.3,13,0.6,0.5,0,1.6,1.6,83.1,86.7,1.4,2.1,78.4,14.2,3433,23.3,18778,75.1,6,88800,15041,2.48,20391,35869,20,834,10824,0.7,2201,2957,0,0,0,0,0,0,561168,338692,424873,11544,30271,8,1030.46,36.6,0.8358831710709318,0.7882434914803319,6.252009000321435
1041,Crenshaw County,AL,6291,1938,4319,34,6411,2048,4326,37,6252,1663,4511,78,13977,13906,0.5,13906,6.1,22.7,18,51.1,72,24,0.5,1.8,0.1,1.6,1.7,70.6,86.3,2.3,3.2,76.7,12.7,1098,30.3,6708,69.9,8,70800,5601,2.46,21343,36275,19.1,211,3139,1,811,1027,25.8,0,0,0,0,30.2,270809,131874,75456,5491,5640,2,608.84,22.8,0.7215291106845809,0.6865363217294548,4.445473489233609
1043,Cullman County,AL,35305,5864,28896,545,33178,4855,27930,393,37278,3730,32734,814,81289,80410,1.1,80406,5.9,22.5,17.6,50.5,96.2,1.4,0.6,0.5,0,1.2,4.4,92.1,87,3,4.6,79.8,14.8,6167,26.4,37131,75,8.2,106100,31342,2.53,20760,38847,18.8,1714,22185,3.6,5549,7873,1.1,0,1.1,0,0,23.9,1393437,0,867058,10757,102291,77,734.84,109.4,0.878105048554107,0.8184676391445971,13.282115171650055
1045,Dale County,AL,19320,5270,13886,164,18551,5283,13105,163,18617,4408,13798,411,49484,50251,-1.5,50251,6.3,23.6,15.4,50.5,75.2,19.7,0.8,1.3,0.1,2.8,6.1,70.2,78.4,3.7,6.3,84.1,17,6730,20.9,22832,61.1,13.6,99400,19345,2.52,22685,44889,17.4,766,11924,-1.6,2444,2951,0,0,0,0,0,0,114991,69341,332503,6889,37229,17,561.15,89.6,0.7411505613149272,0.7187370600414079,-0.6337318162177752
1047,Dallas County,AL,20852,13986,6798,68,20936,14599,6284,53,18730,12826,5784,120,41711,43820,-4.8,43820,6.7,25.2,15.6,53.7,29,69.5,0.2,0.5,0,0.7,1,28.5,86.7,0.8,1.3,77.5,14.2,2897,22,20240,60.9,19.3,75700,16173,2.63,17245,26519,35.5,757,10420,-1,2179,3148,49.1,0,4.4,0,0,28.8,1174763,0,437359,10223,33708,17,978.7,44.8,0.30880939668980245,0.3260118933435642,-14.916151809355693
1049,DeKalb County,AL,24015,5658,17957,400,23842,5235,18316,291,26086,3682,21779,625,71065,71115,-0.1,71109,6.2,24.7,15.7,50.7,92.4,2.1,2.1,0.4,0.7,2.2,14.2,80.6,90.9,7.5,11.2,70.6,10.7,4371,23.3,31035,76.3,6.7,93400,24923,2.82,18149,37851,19.9,1082,16841,3.9,4679,5908,0,0.8,0.6,0,0,25.8,1831626,0,635185,9303,67915,31,777.09,91.5,0.8348922793835774,0.7477409952113263,21.284178871749184
1051,Elmore County,AL,34315,8301,25777,237,35440,8940,26223,277,36905,8436,27619,850,80977,79296,2.1,79303,5.9,23,14,51.5,76,21.2,0.4,0.7,0.1,1.6,2.7,73.7,85.4,2.1,3.6,86.6,21,8364,28.2,33326,75.5,8.1,144600,28324,2.62,23856,54766,13.4,1135,14056,-2.3,4850,6513,9.1,0,0,0,0,28.3,766344,104885,618313,7982,47884,259,618.49,128.2,0.7483809781872375,0.7511875273204138,7.145905264382968
1053,Escambia County,AL,14674,5188,9375,111,14832,5476,9263,93,15213,4698,10282,233,37733,38319,-1.5,38319,6.1,22,16.7,48.8,62.2,32.4,3.4,0.3,0.1,1.7,2.1,60.6,93.4,0.6,1.4,76.2,11.7,2995,23.5,16402,72.5,9,84100,13681,2.59,16540,30687,25.4,723,9977,1,2111,2765,9,3.2,0,0,0,21.3,665336,93125,379587,10089,31909,26,945.08,40.5,0.6758693222901466,0.6388851029030939,9.674666666666676
1055,Etowah County,AL,44737,13497,30595,645,42490,12792,29102,596,43474,10350,32132,992,103531,104427,-0.9,104430,5.7,22.1,17.3,51.6,81.2,15.5,0.5,0.8,0.3,1.6,3.7,78.4,85,2.2,3.1,81.8,14.8,8638,23.9,47505,72.4,12.1,100000,40217,2.55,20204,38013,19,2008,29796,-0.5,6988,9147,6.1,0,0,0,0.6,25.7,1252962,518424,1114841,10801,137966,79,534.99,195.2,0.7391084326263974,0.6838858215794532,5.023696682464451
1057,Fayette County,AL,7957,1994,5883,80,7912,1803,6034,75,8196,1358,6705,133,16874,17241,-2.1,17241,5.4,21.7,19.6,50.5,86.2,11.9,0.4,0.3,0,1.1,1.4,85,87.8,0.6,0.8,74.9,13.2,1221,27.5,8404,74.9,8.7,71400,6956,2.41,18494,33838,19.9,306,3323,-3.8,1073,1378,5.1,0,0,0,0,24.3,186247,22463,130362,7433,10869,0,627.66,27.5,0.818081991215227,0.7393490008797285,13.972463029066805
1059,Franklin County,AL,11693,3469,8048,176,10859,3171,7567,121,11955,2197,9466,292,31601,31709,-0.3,31704,6.6,24.3,15.9,50.3,91.9,4.6,1.5,0.4,0.2,1.5,16.1,78,86.4,8.4,13.2,72.5,11,1860,26.2,14048,69.5,12,82300,12437,2.52,18888,36415,21.9,510,9369,-8,1863,2357,0,0,0,0,0,23.2,671954,67398,269096,8786,25389,13,633.82,50,0.7918025930572982,0.6882750363465321,17.619284294234582
1061,Geneva County,AL,11657,2134,9417,106,11318,2039,9173,106,11659,1522,9967,170,26712,26790,-0.3,26790,5.8,22.2,19.2,50.8,87.1,9.7,1,0.4,0.1,1.7,3.6,84.1,82.7,1.8,3,77.2,10.4,2336,25.6,12646,72.1,5.6,78100,10945,2.43,20199,35625,21.2,400,3791,2.8,1584,1736,0,0,0,0,0,0,153342,231687,170044,6612,10402,8,574.41,46.6,0.8548760614117848,0.807840782362529,5.840501221195704
1063,Greene County,AL,5305,4408,876,21,5328,4514,799,15,4862,4006,838,18,8553,9045,-5.4,9045,5.9,23.3,17.9,52.5,18.5,80.5,0.2,0.2,0,0.6,1,17.9,92.4,0.2,1.4,76.2,12.8,502,28,4988,73.2,8.9,72700,3264,2.72,14930,24226,32.9,99,1379,16.3,506,657,60.3,0,0,0,0,36.1,0,0,33639,3697,1226,4,647.11,14,0.17235705470999588,0.1651272384542884,-4.337899543378998
1065,Hale County,AL,8214,4982,3200,32,8628,5401,3205,22,8010,4772,3172,66,15184,15760,-3.7,15760,6.2,23.3,17.3,52.8,40.8,58.1,0.2,0.3,0,0.6,1.3,40,90.6,1.2,2.7,77.4,12.8,995,27.1,7639,78,6.1,79900,5969,2.56,18812,30051,26.6,195,1966,0.2,762,882,0,0,0,0,0,0,0,0,86735,4794,3136,8,643.94,24.5,0.39600499375780274,0.38957876795714635,-0.8750000000000036
1067,Henry County,AL,8648,3018,5585,45,8700,3046,5605,49,8017,2286,5623,108,17190,17302,-0.6,17302,5.5,21.2,20.8,51.8,70.4,27.3,0.3,0.7,0,1.2,2.6,68.4,91.9,2.9,5,80.1,16.6,1497,26,8961,77.7,4.6,97000,7001,2.44,21924,41650,14.4,293,2754,-2.4,1034,1091,0,0,0,0,0,18.2,425821,0,92574,5559,7415,17,561.75,30.8,0.7013845578146439,0.6458140610545791,0.6803939122649982
1069,Houston County,AL,41735,12225,29254,256,41843,12348,29214,281,42030,10547,30567,916,104193,101547,2.6,101547,6.2,23.7,16.1,52.1,70,26.7,0.5,0.9,0.1,1.8,3.3,67.3,86.3,2.4,4.4,83.9,19.7,9254,20.8,46442,64.6,14.6,122300,39250,2.58,23316,40948,18,2702,43139,0.5,6819,10151,12.1,0,1.4,0,1.3,25.5,1310677,0,1909615,19608,177224,311,579.82,175.1,0.727266238401142,0.700946447825566,4.488275107677575
1071,Jackson County,AL,20874,6374,14083,417,20555,5817,14422,316,20785,3663,16643,479,52665,53226,-1.1,53227,5.4,21.7,18.6,50.7,91.5,3.6,1.6,0.5,0.1,2.6,2.9,89.4,91.2,2.2,3.4,74.6,13,4000,26.4,24755,75.2,6.9,93400,20765,2.53,20486,37634,16,856,12440,4.2,3098,4337,0,4.3,0,0,0,26.8,1525396,0,410988,7784,39315,39,1077.87,49.4,0.8007216742843397,0.674667049918559,18.17794504011929
1073,Jefferson County,AL,318524,166121,149921,2482,303424,159658,141413,2353,290111,151581,130614,7916,660793,658350,0.4,658466,6.6,23.1,14.3,52.8,54,42.9,0.3,1.6,0.1,1.1,3.8,50.8,83.8,4.1,5.9,87.4,30,46613,23.4,305040,64.7,24.2,140800,259634,2.48,26906,45429,18,16232,319199,2,44987,55470,23.4,0.4,2.4,0,1.3,29.8,10260950,13756797,11066328,16730,1268154,2280,1111.28,592.5,0.45022077756444945,0.47067410932928133,-12.878115807658697
1075,Lamar County,AL,7075,1614,5419,42,7159,1643,5453,63,6931,1035,5819,77,14086,14564,-3.3,14564,5,21.7,20.5,51.2,87.1,11.3,0.2,0.1,0,1.4,1.4,85.8,87.8,0.6,1,76.1,9.5,1127,25.7,7326,71.5,9,66800,6084,2.32,19026,36028,22.3,241,2943,4.6,932,1340,0,0,0,0,0,25.8,234908,0,70780,4887,6008,0,604.85,24.1,0.8395613908526908,0.7659363957597173,7.381435689241567
1077,Lauderdale County,AL,38104,13329,24068,707,36908,12504,23902,502,38813,9877,27735,1201,93096,92709,0.4,92709,5.2,20.5,18.2,52.1,86.7,10.4,0.5,0.9,0.1,1.5,2.4,84.7,86.1,2.1,3,83.8,21.1,7000,24.5,44353,69.9,15.4,114300,38458,2.36,23510,42844,17.2,1967,25839,3.4,6576,8317,5.5,0,0.8,0,0,27.6,1083658,514555,1131585,12783,136587,54,667.7,138.8,0.7145801664390797,0.6316397228637414,15.235998005650654
1079,Lawrence County,AL,14680,5164,9277,239,14079,5055,8855,169,14623,3611,10732,280,33477,34339,-2.5,34339,5.3,21.7,16.8,51.3,78.1,11.4,5.8,0.2,0,4.4,2.2,76.4,90.5,1,1.9,77.1,11.9,1891,27.8,15171,80.1,5.9,94200,13382,2.52,20181,38551,17.5,407,4232,-6.3,1990,2289,0,0,0,0,1.1,0,0,23787,166958,4889,22719,0,690.68,49.7,0.7339123298912672,0.6319482288828338,15.683949552657106
1081,Lee County,AL,54325,21498,32230,597,54115,21274,32062,779,57668,20987,34321,2360,154255,140296,9.9,140247,5.8,21.6,10.3,50.7,70.9,23.7,0.4,3.3,0.1,1.5,3.9,67.7,76.4,5.1,6.9,86.7,32.5,10045,21.4,65566,61.7,23.8,146900,55864,2.49,23506,43542,22,2500,38782,3.4,9361,10319,16.2,0,2,0.4,0,28.2,0,0,1451634,11099,201205,943,607.54,230.8,0.5951480890615246,0.5932811780947999,6.4877443375736865
1083,Limestone County,AL,33551,9536,23598,417,35406,9809,25263,334,39400,9340,28824,1236,90787,82782,9.7,82782,5.9,23.4,13.8,49.7,82,13.5,0.8,1.4,0.2,2.1,5.8,77.2,88.1,4.3,6.4,81.5,22.7,6964,26.3,35445,76.6,8.9,134500,31794,2.56,25020,48619,14.7,1308,15305,1.3,5417,5914,4.8,1.1,0.8,0,1.3,25.8,947299,248292,723200,9785,68140,140,559.94,147.8,0.7315736040609137,0.7033471431551965,22.14594457157386
1085,Lowndes County,AL,7278,5449,1809,20,7519,5747,1754,18,6676,4882,1751,43,10580,11299,-6.4,11299,6.7,23.1,17.4,52.3,25.8,72.9,0.3,0.2,0,0.8,1.2,25.3,90.4,0.2,0.7,73.9,14.4,626,30.4,5089,74.9,9.5,71400,4212,2.61,18368,26230,26.7,98,1835,-1.3,685,682,57.3,0,0,0,0,35.2,1156888,0,103636,8184,595,5,715.91,15.8,0.262282804074296,0.2485572959604287,-3.206191265892755
1087,Macon County,AL,10877,9450,1396,31,10385,9045,1322,18,8748,7237,1394,117,19425,21450,-9.4,21452,4.7,18.3,16.8,54.2,16.7,81.5,0.2,0.3,0,1.4,1.5,16.2,83.8,1.1,4.2,80,19.6,1662,23.1,10217,65.7,15.5,75700,8107,2.29,16826,30724,27.3,217,5381,3.2,1166,1584,66.7,0,0,0,0,0,0,0,87509,3932,19354,1,608.89,35.2,0.15935070873342477,0.12834421255860992,-0.14326647564469885
1089,Madison County,AL,152899,64117,86965,1817,154632,61802,90679,2151,159473,62435,89199,7839,350299,334811,4.6,334811,5.8,22.4,13.7,51.2,69.4,24.6,0.8,2.6,0.1,2.5,4.7,65.5,84.7,5.4,7.1,90,38.5,34203,21,154452,69.3,21.4,164500,132975,2.5,31933,58434,12.8,8095,153304,0.8,22681,26467,12.3,1.4,3.5,0,1.3,29.2,8650700,2970410,4438653,14145,596324,2677,801.59,417.7,0.5593360631580268,0.5687741581043696,2.568849537170137
1091,Marengo County,AL,11471,5926,5516,29,11509,6154,5321,34,10948,5607,5224,117,20110,21029,-4.4,21027,6,23,18.6,53.2,47.4,51,0.3,0.3,0.2,0.8,2.4,45.6,87.4,0.7,1.2,83.7,17.4,1462,22.4,10207,71.3,9.1,89600,8464,2.42,22072,35079,24,478,5876,1.8,1019,1604,0,0,0,0,0,21.4,542135,64589,197221,9274,16684,0,976.88,21.5,0.47716477895506026,0.480864789469096,-5.2936910804931125
1093,Marion County,AL,12355,2600,9536,219,12104,2249,9696,159,12912,1432,11273,207,30271,30777,-1.6,30776,5.4,21.2,20.1,50.4,93.9,4.2,0.3,0.3,0.1,1.2,2.5,91.7,86.6,1,2.5,74.6,9.5,2287,24,14704,75.9,9.6,78700,12700,2.34,19576,32888,20.9,547,8006,5,1828,2224,0,0,0,0,0,0,794483,162519,209924,7116,19081,0,742.29,41.5,0.8730638166047088,0.7718332658842574,18.215184563758392
1095,Marshall County,AL,33166,7038,25727,401,32455,6271,25785,399,34965,4913,29217,835,94636,93019,1.7,93019,6.6,24.5,16.3,50.9,93.7,2.7,1.1,0.7,0.3,1.6,12.9,82.3,86.1,8,11.5,76.2,15.2,7192,23.9,40328,71.9,9.5,114000,34250,2.7,20382,39526,19.5,1795,30306,0.1,6781,8700,0,0,0.9,0,1,24.9,3029491,1138701,1357696,15434,103539,28,565.84,164.4,0.8356070356070356,0.7757040342519448,13.5655148287791
1097,Mobile County,AL,181424,82181,98049,1194,174189,78417,94566,1206,163387,68429,91087,3871,415123,413143,0.5,412992,6.7,24,14.5,52.2,60.1,35.3,1,2,0.1,1.5,2.8,57.8,85.8,3.2,5,83.9,20.7,33586,23.9,181611,66.6,17.4,124300,155178,2.6,22501,43028,19.8,8567,147574,-0.4,29500,34836,18.8,0,2.4,0,1.2,29.5,12407151,3268730,5225494,12895,562436,746,1229.44,335.9,0.5574923341514318,0.5404411764705882,-7.100531366969576
1099,Monroe County,AL,11252,5025,6175,52,10680,4897,5730,53,10185,4310,5771,104,21947,23070,-4.9,23068,5.5,23.4,17.9,52.6,55.5,41.1,1.3,0.4,0,1.6,1.2,54.7,91.8,0.9,1.3,76.1,10.6,1237,23.3,11274,74,6.8,76900,8333,2.71,15749,29203,28.6,393,5029,-1.8,1265,2257,23.6,0,0,0,0,24.5,1251911,92815,212618,9342,14796,0,1025.68,22.5,0.5666175748649975,0.5487913259864913,-6.5425101214574894
1101,Montgomery County,AL,104743,62166,42031,546,101781,62993,38283,505,94572,58669,33928,1975,226189,229363,-1.4,229363,6.8,24,13.3,52.6,38.9,56.7,0.3,2.6,0.1,1.3,3.4,36.3,78.1,4.3,5.7,85.6,31.5,20008,19.3,103434,61.4,22.4,122900,88844,2.49,24975,44790,21.2,5533,101517,1.2,15129,21463,35.6,0.7,2.4,0,1.3,30.9,7956627,3275567,3238175,14351,402861,734,784.25,292.5,0.3587531193164996,0.40127741233304376,-19.278627679569837
1103,Morgan County,AL,50542,13895,36014,633,49198,13401,35309,488,49991,11216,37392,1383,119607,119486,0.1,119490,6,23.1,15.9,50.8,83.5,12.5,1.1,0.7,0.1,2,7.9,76.6,86.4,5.1,8,81.4,19.9,9518,23.7,51496,71.5,15.1,120500,46192,2.55,23764,44800,15.7,2589,42569,2,7506,10034,5.9,1.8,1,0,0,21.3,0,1213925,1637628,14222,154700,136,579.34,206.3,0.7479746354343781,0.7125558941078707,3.826289776198144
1105,Perry County,AL,6159,4457,1679,23,6065,4536,1504,25,5255,3823,1403,29,9826,10581,-7.1,10591,5.5,22.4,17.9,53.4,31.1,67.5,0.2,0.4,0.1,0.7,1.3,30.3,92.2,0.5,0.8,70.2,10.4,670,26.8,4691,67,11,58000,3400,2.84,13716,28209,25.6,125,1570,4,488,854,55.7,0,0,0,0,41.3,0,10360,34121,3181,2632,0,719.66,14.7,0.26698382492863937,0.27260918980353954,-16.43835616438356
1107,Pickens County,AL,10067,4594,5434,39,9599,4448,5119,32,9494,3972,5454,68,20365,19746,3.1,19746,5.2,20.5,17.8,50.6,58.1,40.2,0.2,0.3,0.4,0.9,4.1,54.7,91.9,0.3,2.6,79.7,11,1610,29.3,9441,72,10.7,81900,7926,2.42,17153,28741,27.2,266,2707,-1.2,1073,1268,0,0,0,0,0,10,107619,36581,113222,5805,6302,3,881.41,22.4,0.574468085106383,0.53978345087911,0.3680529996319404
